column_0_cat,column_1_int,column_2_float,column_3_int,column_4_float,column_5_float,column_6_int,column_7_cat,column_8_cat,column_9_date
Ahmed,3,68.22994807874001,8,93.31243928729077,14.138403816592426,9,pig,Madrid,2020-09-14
Elizabeth,5,93.52842421908693,9,27.38760055673056,77.04023485690031,0,fish,Nairobi,2020-05-19
Ahmed,2,58.89218736267543,4,92.27830892369285,51.92737048418448,5,pig,Moscow,2020-10-14
Elizabeth,1,6.55713927600109,0,71.34859022609238,55.99331531013515,5,pig,Moscow,2020-01-10
Ahmed,1,26.498504167902027,3,84.03293979270168,84.36680294714095,7,crab,Lisbon,2020-01-18
Elizabeth,2,70.64653961387248,6,66.54374658895877,77.706900784113,3,pig,Madrid,2020-09-10
Susan,5,51.361525208524164,7,50.44181864173132,46.49885835876967,8,turkey,Moscow,2020-08-22
Ahmed,1,76.3648293058758,7,49.05755914476879,31.780983888281977,5,fish,Lisbon,2020-09-21
Ahmed,2,54.772996457252,6,44.531207981768816,79.56312890161972,1,fish,Lisbon,2020-05-24
Elizabeth,4,79.41023161433937,7,33.79442922957432,0.6159801588497271,1,fish,Lisbon,2020-03-11
Elizabeth,3,43.723684732584246,2,87.6362843813134,99.21262982031213,1,deer,Madrid,2020-09-15
Mary,9,37.65679178778621,8,60.03559619404491,86.16110000289193,7,pig,Moscow,2020-10-27
Ahmed,6,5.335929119256743,1,67.42126822164003,61.833179999757434,1,pig,Lisbon,2020-03-01
Mary,6,98.43046494723477,1,23.571181996262204,67.30737331060877,7,turkey,Nairobi,2020-07-09
Elizabeth,0,72.8064806146844,4,13.56908634063464,10.510232609906655,4,deer,Moscow,2020-07-07
Susan,9,55.64389081452049,2,85.13731054801286,93.09030005875879,4,pig,Moscow,2020-05-09
Elizabeth,8,85.28097724317088,9,43.64522314943097,22.51992652082301,0,crab,Lisbon,2020-06-12
Ahmed,6,92.33318846072305,0,64.03482523070025,26.516824060898635,6,fish,Lisbon,2020-10-19
William,9,64.05618957731734,1,35.690031067767336,9.283480416221524,7,turkey,Tokyo,2020-11-14
